gene_id,PIM046_A3,PIM056_A3,PIM242,PIM014,PIM077,PIM137,PIM254,PIM040,PIM053,PIM091,PIM262,PIM068,PIM163,PIM010,PIM025,PIM164
ACOT6,0,0,2.27,0,,4.99,2.46,0,1.49,1.6,0.34,1.5,0,0,0.13,1.54
ACOT7,8.68,59.75,46.13,35.24,,29.3,108.55,12.36,96.91,65.93,41.9,9.83,13.94,41.88,25.52,104.53
ACOT8,17.17,22.24,7.1,16.56,,13.49,3.84,56.87,8.39,20.81,8.93,1.9,22.98,15.89,29.67,26.82
ACOT9,27.28,84.22,0.92,18.53,,46.84,41.34,17.17,51.62,65.14,71.46,51.67,61.63,38.92,34.23,40.86
ACOX1,18.39,18.12,11.69,10.84,,16.26,42.44,31.62,32.44,50.46,79.21,16.63,12.7,27.66,46.46,30.44
ACOX2,0.12,0.41,3.38,0.06,,1.71,0.66,0.21,0.3,6.75,0.49,0.31,14.27,8.71,0,7.55
ACOX3,8.89,5.79,16.21,19.41,,7.02,2.49,8.66,7.53,17.15,4.13,2.29,2.2,23.26,26.11,5.55
ACOXL,0.07,0,0,2.06,,0.47,1.34,0,0.29,0.3,0,0.94,1.58,0.12,0,7.26
ACP1,256.08,160.7,64.5,164.65,,71.96,78.05,110.91,89.84,88.39,158.01,98.66,139.62,164.68,62.05,154.7
ACP2,42.33,19.54,3.43,40.28,,13.67,8.02,58.03,5.6,30.2,12.28,1.29,1.63,24.05,62.79,20.32
ACP4,0,0,0.3,0,,0,0.07,0,0,0,0.16,0.07,0.08,0,0,0
ACP5,4.68,0,0.45,0.15,,2.59,1.62,11.28,1.37,29.01,2.53,0.38,0.83,0.49,1.2,1.53
ACP6,12.61,18.24,48.91,39.93,,33.84,72.9,18.27,91.12,53.15,93.75,25.23,26.6,8,21.06,61.95
ACP7,0.21,1.84,0.04,1.12,,0.47,0.36,0,0.03,0,0,0.24,0,2.98,0.41,0.15
ACPP,0.41,0.03,0.66,0.82,,5.87,0.81,10.87,0.89,35.96,27.04,144.43,0.11,0.89,1.03,33.79
ACR,0.8,0.09,8.02,0.76,,16.05,2.42,2.34,46.13,4.93,5.74,7.49,26.01,0.3,0.09,5.58
ACRBP,0.39,0.23,0.61,0.82,,3.95,3.82,4.73,1.42,5.46,0.61,4.4,1.7,2.48,0.55,4.91
ACRV1,0.37,0.44,3.4,0.28,,7.51,3.24,0.14,2.36,5.66,12.75,7.02,0.56,1.23,0.56,8.42
ACSBG1,0.11,0,0.67,0.23,,0.84,1.47,1.41,3.06,2.29,0.85,1.07,0.13,0.57,0.04,0.82
ACSBG2,0,0,2.05,0,,1.9,1.37,0,0.67,0.66,0.24,2.38,0.35,0,0,0.92
ACSF2,8.47,18.77,9.29,17.87,,11.02,27.51,13.89,10.59,28.95,25.01,3.51,6.57,55.26,20.08,4.98
ACSF3,4.03,8.7,1.98,0.09,,5.36,2.17,8.99,4.11,9.54,3.53,1.43,0.61,16.1,13.03,6.94
ACSL1,47.91,131.34,16.83,202.71,,25.08,37.2,110.33,212.5,125.33,100.43,24.45,87.84,55.07,113.07,21.99
ACSL3,120.08,193.59,126.82,130.61,,124.66,90.55,94.26,43.05,62.94,316.5,178.54,58,30.57,57.86,32.27
ACSL4,5.3,46.22,42.51,2.69,,47.88,22.39,6.46,5.51,0.24,10.65,17.88,28.93,12.89,32.07,37.77
ACSL5,7.03,2.99,2.81,27.15,,22.66,18.5,2.07,39.57,28.62,3.39,0.96,7.92,0.03,12.51,6.62
ACSL6,0.01,21.53,0.66,1.56,,0.29,12.06,0.38,0.08,1.72,0,0.32,0.03,1.89,7.37,22.95
ACSM1,2,0.15,6.46,0.14,,9.84,1.87,0.71,3.45,5.23,7.39,10.76,0.49,0.29,0.55,0.15
ACSM2A,0,0,0.88,0,,1.2,0.66,0,0.37,0,0,1.76,0,0,0,0
ACSM2B,0,0,2.58,0,,3.32,0.55,0,0.52,0,0.04,2.18,0,0,0,0
ACSM3,6.45,0.04,7.07,1.59,,6.22,1.23,6.67,0.43,17.28,15.38,13.79,13.94,16.44,5.91,19.16
ACSM4,0,0,1.71,0,,3.64,1.89,0,0.27,0.18,0,2.43,0.52,0,0,0.54
ACSM5,0,0,1.98,0,,1.8,0.46,0,0.43,0,0,2.5,0,0,0,0
ACSM6,0,0,3.64,0,,5.06,1.37,0,0.78,0.8,2.27,2.05,0.06,0,0,8.05
ACSS1,34.83,1.56,1.39,38.36,,0.82,1.37,54.6,3.23,3.92,1.51,3.42,4.07,23.08,19.32,0.21
ACSS2,40.36,44.2,6.83,10.25,,10.29,2.64,61.49,8.84,23.49,39.73,2.87,6.87,37.9,37.76,12.83
ACSS3,0.66,0.03,1.67,3.6,,0.54,11.49,7.05,27.78,78.55,35.38,0.73,13.44,0,0,26.74
ACTA1,9.5,0,1.24,0.05,,4.33,1.3,0.17,0.41,0.22,0.36,40.19,0.55,0.83,14.2,10.15
ACTA2,416.02,11.02,6.3,1.43,,64.6,7.54,0.07,15.67,6.68,28.27,357.97,18.54,122.83,2201.99,3.6
ACTB,3957.75,7996.71,2766.19,6475.96,,2248.9,2148.97,4607.65,6032.08,1898.28,1041.69,2839.48,1166.72,5235.83,10746.35,1053.1
ACTBL2,0,0.02,3.29,0,,4.27,0.95,0.34,0.68,0.47,1.12,0.92,0,0.07,0.27,0
ACTC1,0.02,0,0.46,0,,0.96,0.42,0,0.4,0,0,0.49,0,0,0,0.2
ACTG1,3148.66,4100.27,1638.44,1792.95,,773.23,1328.81,1372.45,821.51,654.55,715.46,739.03,813.7,2630.83,4623.05,637.76
ACTG2,1139.61,0.33,345.52,3.64,,198.47,5.54,3.59,1.54,1.11,118.01,525.04,35.34,61.14,1693.62,3.59
ACTL10,5,3.87,1.45,6.45,,1.82,1.3,4.72,4.84,3.55,0.81,1.03,1.62,0.92,4.02,1.61
ACTL6A,181.54,126.34,96.45,78.72,,97.34,100.15,101.68,68.34,77.57,145.77,136.68,160.51,114.14,63.25,101.06
ACTL6B,0,0,0,0.05,,0,0.06,0,0.04,0.07,0,0.06,0,0.07,0,82.16
